index=0,user_id=50644,Time Difference,Weight
http://www.sephora.com/partyon?icid2=bd_partyon_101716_image,2016-12-02,3,4
http://www.sephora.com/mystery-sample-bag-2016?icid2=bd_tryme_110116_image,2016-12-02,3,4
http://www.sephora.com/perfect-8?icid2=bd_perfect8_us_100916_image,2016-12-02,3,4
http://www.sephora.com/holiday-deluxe-bag-2016?icid2=bd_verymerry_us_112616_banner_image,2016-12-02,3,4
http://www.sephora.com/partyon?icid2=bd_partyon_101716_image,2016-12-02,3,4
http://www.sephora.com/mystery-sample-bag-2016?icid2=bd_tryme_110116_image,2016-12-02,3,4
http://www.sephora.com/holiday-deluxe-bag-2016?icid2=bd_verymerry_us_112616_banner_image,2016-12-02,3,4
http://www.sephora.com/promotions-weekly-specials?icid2=HomePage_QuickLink_US_WeeklySpecials_10.22.13_Link,2016-12-02,3,4
http://www.sephora.com/,2016-12-02,3,4
http://www.sephora.com/25-deluxe-samples-2016?icid2=homepage_weeklyspecials_etnevda5_25minis_120216_image,2016-12-02,3,4
http://www.sephora.com/,2016-12-02,3,4
http://www.sephora.com/sephora-flash-subscription-P379518?skuId=1530070&icid2=HomePage_PersistentBanner_Flash,2016-12-02,3,4
http://www.sephora.com/shopping-list,2016-12-02,3,4
https://www.sephora.com/checkout/payment,2016-12-02,3,4
https://www.sephora.com/checkout/payment,2016-12-02,3,4
http://www.sephora.com/24-7-glide-on-lip-pencil-P219001?skuId=1105105,2016-12-02,3,4
https://www.sephora.com/checkout/confirm,2016-12-02,3,4
https://www.sephora.com/checkout/confirm,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp?om_mmc=aff-linkshare-redirect-AysPbYF8vuM&c3ch=Linkshare&c3nid=AysPbYF8vuM&affid=AysPbYF8vuM-qaPMUf_qjKW.v5XBZLYKoQ&ranEAID=AysPbYF8vuM&ranMID=2417&ranSiteID=AysPbYF8vuM-qaPMUf_qjKW.v5XBZLYKoQ&ranLinkID=10-1&browserdefault=true,2016-12-02,3,4
http://www.sephora.com/affiliates.jsp?site=linkshare&url=https%3A%2F%2Fwww.sephora.com%2Fbasket%2Fbasket.jsp%3Fom_mmc%3Daff-linkshare-redirect-AysPbYF8vuM%26c3ch%3DLinkshare%26c3nid%3DAysPbYF8vuM%26affid%3DAysPbYF8vuM-qaPMUf_qjKW.v5XBZLYKoQ%26ranEAID%3DAysPbYF8vuM%26ranMID%3D2417%26ranSiteID%3DAysPbYF8vuM-qaPMUf_qjKW.v5XBZLYKoQ%26ranLinkID%3D10-1%26browserdefault%3Dtrue&siteID=AysPbYF8vuM-qaPMUf_qjKW.v5XBZLYKoQ,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
http://www.sephora.com/buxom-lash-waterproof-mascara-P374159?skuId=1540293&icid2=products%20grid:p374159,2016-12-02,3,4
http://www.sephora.com/search/search.jsp?keyword=buxom%20waterproof&mode=all,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
http://www.sephora.com/aqua-lip-waterproof-lipliner-pencil-P183919?skuId=1005511,2016-12-02,3,4
http://www.sephora.com/aqua-lip-waterproof-lipliner-pencil-P183919?skuId=1005511,2016-12-02,3,4
http://www.sephora.com/aqua-lip-waterproof-lipliner-pencil-P183919?skuId=1005511,2016-12-02,3,4
http://www.temptalia.com/urban-decay-fall-2015-247-glide-on-lip-pencils-reviews-photos-swatches/,2016-12-02,3,4
http://www.sephora.com/aqua-lip-waterproof-lipliner-pencil-P183919?skuId=1005487,2016-12-02,3,4
http://www.temptalia.com/urban-decay-fall-2015-247-glide-on-lip-pencils-reviews-photos-swatches/,2016-12-02,3,4
http://www.sephora.com/24-7-glide-on-lip-pencil-P219001?skuId=1724921,2016-12-02,3,4
http://www.temptalia.com/urban-decay-fall-2015-247-glide-on-lip-pencils-reviews-photos-swatches/,2016-12-02,3,4
http://www.sephora.com/24-7-glide-on-lip-pencil-P219001?skuId=1724954,2016-12-02,3,4
http://www.temptalia.com/urban-decay-fall-2015-247-glide-on-lip-pencils-reviews-photos-swatches/,2016-12-02,3,4
http://www.sephora.com/24-7-glide-on-lip-pencil-P219001?skuId=1724954,2016-12-02,3,4
http://www.temptalia.com/urban-decay-fall-2015-247-glide-on-lip-pencils-reviews-photos-swatches/,2016-12-02,3,4
http://www.sephora.com/24-7-glide-on-lip-pencil-P219001?skuId=1724954,2016-12-02,3,4
http://www.sephora.com/aqua-lip-waterproof-lipliner-pencil-P183919?skuId=1005487,2016-12-02,3,4
http://www.sephora.com/24-7-glide-on-lip-pencil-P219001?skuId=1724954,2016-12-02,3,4
http://www.sephora.com/shopping-list,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
http://www.sephora.com/,2016-12-02,3,4
http://www.sephora.com/,2016-12-02,3,4
http://www.sephora.com/high-precision-lip-pencil-P410515?skuId=1855824&icid2=products%20grid:p410515,2016-12-02,3,4
http://www.sephora.com/high-precision-lip-pencil-P410515?skuId=1855824&icid2=products%20grid:p410515,2016-12-02,3,4
http://www.sephora.com/lip-liner-lip-pencils,2016-12-02,3,4
http://www.sephora.com/lip-line-perfector-P292402?skuId=1354083&icid2=products%20grid:p292402,2016-12-02,3,4
http://www.sephora.com/make-up-for-ever?node=1050000,2016-12-02,3,4
http://www.sephora.com/aqua-lip-waterproof-lipliner-pencil-P183919?skuId=1005495,2016-12-02,3,4
http://www.sephora.com/aqua-lip-waterproof-lipliner-pencil-P183919?skuId=1005487,2016-12-02,3,4
http://www.sephora.com/shopping-list,2016-12-02,3,4
http://www.sephora.com/the-colors-nail-polish-P382111?skuId=1772532,2016-12-02,3,4
http://www.sephora.com/shopping-list,2016-12-02,3,4
http://www.sephora.com/shopping-list,2016-12-02,3,4
http://www.sephora.com/beauty-amplifier-universal-lip-liner-P379324?skuId=1509041,2016-12-02,3,4
http://www.sephora.com/shopping-list,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
http://www.sephora.com/happy-birthday-beautiful-P182601?skuId=1768712,2016-12-02,3,4
http://www.sephora.com/happy-birthday-beautiful-P182601?skuId=1768712,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
http://www.sephora.com/happy-birthday-beautiful-P182601?skuId=1756113,2016-12-02,3,4
http://www.sephora.com/happy-birthday-beautiful-P182601?skuId=1756113,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
http://www.sephora.com/creme-du-nil-pore-refining-moisture-veil-P411869?skuId=1864743,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
http://www.sephora.com/?om_mmc=ret-us_news1_20161202_RewardCard_VIB-he-promodollaroff-rewardcardhero&emtc2=4f3fbee3-5cd6-4329-a88a-a572b72f3256&emlid=f7e833fb1007408ca047293bb52f9155&ematg=907664877&emcid=28154967&promo=&viq_epid=9fb5a638-1bbc-4aec-9fcb-b423a116e668%7C28154967,2016-12-02,3,4
http://www.instyle.com/beauty/should-you-get-botox-younger,2016-12-02,3,4
http://www.instyle.com/beauty/should-you-get-botox-younger,2016-12-02,3,4
https://track-registry.theknot.com/track/view?r=718934114&rt=14020&a=995&eventType=1&lt=RetailerGVR&st=WeddingWebsite&ss=LeftNav&sp=LinkedRegistries,2016-12-01,4,3
http://www.sephora.com/search/saleResults.jsp?keyword=Sale&topNav=true&sale=true&node=1050077,2016-12-01,4,3
http://www.nytimes.com/?WT.z_jog=1&hF=t&vS=undefined,2016-12-01,4,3
http://www.nytimes.com/?WT.z_jog=1&hF=t&vS=undefined,2016-12-01,4,3
